"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Goblet Squat",,"",0,"normal",15,15,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Goblet Squat",,"",1,"normal",15,15,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Goblet Squat",,"",2,"normal",15,12,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Standing Calf Raise (Dumbbell)",,"",0,"normal",15,25,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Standing Calf Raise (Dumbbell)",,"",1,"normal",15,25,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Standing Calf Raise (Dumbbell)",,"",2,"normal",15,25,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Seated Leg Curl (Machine)",,"",0,"normal",8,15,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Seated Leg Curl (Machine)",,"",1,"normal",8,15,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Seated Leg Curl (Machine)",,"",2,"normal",8,12,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Lying Leg Curl (Machine)",,"",0,"normal",6,12,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Lying Leg Curl (Machine)",,"",1,"normal",6,10,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Lying Leg Curl (Machine)",,"",2,"normal",6,7,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Romanian Deadlift (Dumbbell)",,"",0,"normal",7.5,14,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Romanian Deadlift (Dumbbell)",,"",1,"normal",7.5,8,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Romanian Deadlift (Dumbbell)",,"",2,"normal",9,12,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Hip Abduction (Machine)",,"",0,"normal",60,18,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Hip Abduction (Machine)",,"",1,"normal",75,12,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Hip Abduction (Machine)",,"",2,"normal",75,12,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Hip Adduction (Machine)",,"",0,"normal",75,20,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Hip Adduction (Machine)",,"",1,"normal",75,14,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Hip Adduction (Machine)",,"",2,"normal",60,10,,,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Elliptical Trainer",,"",0,"normal",,,0.45,300,
"PP [L] PPL","30 Aug 2025, 14:24","30 Aug 2025, 15:20","","Elliptical Trainer",,"",1,"normal",,,0.45,300,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Lat Pulldown (Cable)",,"",0,"normal",7,8,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Lat Pulldown (Cable)",,"",1,"normal",7,10,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Lat Pulldown (Cable)",,"",2,"normal",6,14,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Lat Pulldown (Cable)",,"",3,"normal",7,7,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Seated Cable Row - Bar Grip",,"",0,"normal",5,18,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Seated Cable Row - Bar Grip",,"",1,"normal",7,16,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Seated Cable Row - Bar Grip",,"",2,"normal",8,14,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Seated Cable Row - Bar Grip",,"",3,"normal",8,14,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Dumbbell Row",,"",0,"normal",15,20,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Dumbbell Row",,"",1,"normal",15,18,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Dumbbell Row",,"",2,"normal",15,16,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Dumbbell Row",,"",3,"normal",15,12,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",40,14,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",40,14,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Rear Delt Reverse Fly (Machine)",,"",2,"normal",40,10,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Seated Palms Up Wrist Curl",,"",0,"normal",9,5,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Seated Palms Up Wrist Curl",,"",1,"normal",9,6,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Seated Palms Up Wrist Curl",,"",2,"normal",7.5,23,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Seated Palms Up Wrist Curl",,"",3,"normal",7.5,16,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Seated Palms Up Wrist Curl",,"",4,"normal",7.5,10,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Seated Incline Curl (Dumbbell)",,"",0,"normal",7.5,6,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Seated Incline Curl (Dumbbell)",,"",1,"normal",7.5,7,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Seated Incline Curl (Dumbbell)",,"",2,"normal",7.5,6,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Seated Incline Curl (Dumbbell)",,"",3,"normal",5,12,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Preacher Curl (Dumbbell)",,"",0,"normal",22.7,16,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Preacher Curl (Dumbbell)",,"",1,"normal",30,8,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Preacher Curl (Dumbbell)",,"",2,"normal",30,8,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Preacher Curl (Dumbbell)",,"",3,"normal",30,5,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Hammer Curl (Dumbbell)",,"",0,"normal",5,20,,,
"P [P] LPPL","29 Aug 2025, 19:40","29 Aug 2025, 20:57","","Hammer Curl (Dumbbell)",,"",1,"normal",5,14,,,
